name,hp,atk,def,spatk,spdef,spd,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/typ1.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/  typ2.png,,
Bulbasaur,294,216,216,251,251,207,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/bulbasaur.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/bulbasaur.jpg
Ivysaur,324,245,247,284,284,240,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/ivysaur.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/ivysaur.jpg
Venusaur,364,289,291,328,328,284,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/venusaur.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/venusaur.jpg
Venusaur mega,364,328,379,377,372,284,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/venusaur-mega.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/venusaur-mega.jpg
Charmander,282,223,203,240,218,251,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/charmander.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/charmander.jpg
Charmeleon,320,249,236,284,251,284,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/charmeleon.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/charmeleon.jpg
Charizard,360,293,280,348,295,328,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/charizard.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/charizard.jpg
Charizard mega x,360,394,353,394,295,328,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Dragon.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/charizard-mega-x.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/charizard-mega-x.jpg
Charizard mega y,360,394,353,394,295,328,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/charizard-mega-y.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/charizard-mega-y.jpg
Squirtle,292,214,251,218,249,203,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/squirtle.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/squirtle.jpg
Wartortle,322,247,284,251,284,236,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/wartortle.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/wartortle.jpg
Blastoise,362,291,328,295,339,280,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/blastoise.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/blastoise.jpg
Caterpie,294,174,185,152,152,207,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/caterpie.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/caterpie.jpg
Metapod,304,152,229,163,163,174,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/metapod.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/metapod.jpg
Butterfree,324,207,218,306,284,262,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/butterfree.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/butterfree.jpg
Weedle,284,185,174,152,152,218,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/weedle.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/weedle.jpg
Kakuna,294,163,218,163,163,185,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/kakuna.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/kakuna.jpg
Beedrill,334,306,196,207,284,273,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/beedrill.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/beedrill.jpg
Pidgey,284,207,196,185,185,232,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/pidgey.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/pidgey.jpg
Pidgeotto,330,240,229,218,218,265,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/pidgeotto.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/pidgeotto.jpg
